epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-16413.248,-12488.87,-23638.216,-15859.998,-16658.324,0.0001,mfvi,1,100,2
5000,-0.3041170654296875,-2.004353759765625,-202.676765625,-6244.302,-8978.907,0.0001,mfvi,1,100,2
10000,-0.5196746826171875,-1.5639853515625,-212.963796875,-6102.842,-8553.02,0.0001,mfvi,1,100,2
15000,-0.5802086791992187,-1.6006131591796875,-219.469875,-6268.5645,-8558.31,0.0001,mfvi,1,100,2
20000,-0.7065385131835937,-1.4111923828125,-218.880234375,-6276.8035,-8855.249,0.0001,mfvi,1,100,2
25000,-0.7738270874023437,-1.39809423828125,-215.507265625,-6231.6555,-9011.357,0.0001,mfvi,1,100,2
30000,-0.571263671875,-1.339922607421875,-212.274734375,-6179.7965,-9130.75,0.0001,mfvi,1,100,2
35000,-0.3111830139160156,-1.2339927978515626,-209.537859375,-6140.7555,-9308.62,0.0001,mfvi,1,100,2
40000,-0.7558058471679687,-1.1699503173828125,-207.79778125,-6089.1335,-9276.307,0.0001,mfvi,1,100,2
45000,-1.085819580078125,-1.1073922119140625,-205.7609375,-6028.0655,-9009.706,0.0001,mfvi,1,100,2
50000,-1.1176983642578124,-1.0259566650390626,-203.268421875,-6001.9305,-9242.984,0.0001,mfvi,1,100,2
55000,-0.6602499389648437,-0.9120018310546875,-200.45446875,-5987.1585,-9220.099,0.0001,mfvi,1,100,2
60000,-0.6454994506835937,-0.859850830078125,-197.35796875,-5971.85,-8931.912,0.0001,mfvi,1,100,2
65000,-0.637933349609375,-0.8275498046875,-194.640828125,-5960.961,-8963.889,0.0001,mfvi,1,100,2
70000,-0.720104248046875,-0.8030399169921875,-192.097828125,-5946.101,-8856.822,0.0001,mfvi,1,100,2
75000,-0.5126465454101562,-0.7643560791015624,-189.672046875,-5945.013,-8576.878,0.0001,mfvi,1,100,2
80000,-0.564569580078125,-0.7470267333984375,-187.17984375,-5921.2305,-8511.694,0.0001,mfvi,1,100,2
85000,-0.850475830078125,-0.757680908203125,-184.2576875,-5890.206,-8241.343,0.0001,mfvi,1,100,2
90000,-1.2965125732421876,-0.8353713989257813,-181.229796875,-5842.6765,-7952.4205,0.0001,mfvi,1,100,2
95000,-0.7915234985351562,-0.69591064453125,-178.351234375,-5817.6485,-7867.9675,0.0001,mfvi,1,100,2
100000,-1.1290189208984376,-0.7481981201171874,-175.73628125,-5781.4815,-8032.6705,0.0001,mfvi,1,100,2
