epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train,frequency
0,-10538.326,1,sbvi,0,100,0.5
10000,0.23842884826660157,1,sbvi,0,100,0.5
20000,0.30971847534179686,1,sbvi,0,100,0.5
30000,0.3626490783691406,1,sbvi,0,100,0.5
40000,-0.12319638061523437,1,sbvi,0,100,0.5
50000,0.38927340698242185,1,sbvi,0,100,0.5
60000,0.36753057861328126,1,sbvi,0,100,0.5
70000,0.2404651641845703,1,sbvi,0,100,0.5
80000,0.17946856689453125,1,sbvi,0,100,0.5
90000,0.005188560485839844,1,sbvi,0,100,0.5
100000,-0.004775951385498047,1,sbvi,0,100,0.5
