epoch,ood_ll_var_0.01,ood_ll_var_0.1,ood_ll_var_1.0,ood_ll_var_10.0,ood_ll_var_100.0,temperature,posterior_type,seed,n_train,frequency
0,-916322.816,-3472354.816,-3201847.296,-7730223.104,-7874304.0,1,mfvi,0,1000,1.0
5000,-106.7273125,-112.5153359375,-7337.9125,-4105511.68,-5459183.616,1,mfvi,0,1000,1.0
10000,-36.292484375,-25.491474609375,-6791.201,-3966048.768,-5285368.32,1,mfvi,0,1000,1.0
15000,-15.641046875,-27.68919140625,-6091.644,-3761286.656,-5178773.504,1,mfvi,0,1000,1.0
20000,-46.14465234375,-38.66117578125,-5437.577,-3511006.976,-4655539.712,1,mfvi,0,1000,1.0
25000,-24.0086875,-23.18026953125,-4770.349,-3273252.608,-4307688.96,1,mfvi,0,1000,1.0
30000,-70.1680546875,-107.93553125,-4215.0785,-3069955.584,-3986600.448,1,mfvi,0,1000,1.0
35000,-31.931279296875,-22.87336328125,-3657.47575,-2864367.872,-3871531.52,1,mfvi,0,1000,1.0
40000,-10.5792724609375,-17.974724609375,-3130.8385,-2667352.576,-3667490.56,1,mfvi,0,1000,1.0
45000,-169.313515625,-103.2951015625,-2654.138,-2496137.216,-3345102.592,1,mfvi,0,1000,1.0
50000,-143.8318125,-89.519203125,-2406.7345,-2334375.424,-3069474.816,1,mfvi,0,1000,1.0
55000,-8.6364921875,-12.2301279296875,-1923.922375,-2184052.736,-2839184.384,1,mfvi,0,1000,1.0
60000,-10.5632890625,-17.541701171875,-1597.149625,-2040433.92,-2642027.52,1,mfvi,0,1000,1.0
65000,-27.92485546875,-29.00208984375,-1400.39525,-1909611.776,-2495993.088,1,mfvi,0,1000,1.0
70000,-13.85211328125,-38.74734375,-1247.17275,-1793629.952,-2456153.6,1,mfvi,0,1000,1.0
75000,-82.111234375,-74.6484609375,-1050.54375,-1663045.12,-2293570.048,1,mfvi,0,1000,1.0
80000,-23.21133203125,-19.870220703125,-842.188375,-1550336.256,-1995604.224,1,mfvi,0,1000,1.0
85000,-9.970212890625,-11.8216162109375,-779.199625,-1439305.216,-1857769.472,1,mfvi,0,1000,1.0
90000,-15.154966796875,-21.160017578125,-653.0478125,-1324344.832,-1590031.872,1,mfvi,0,1000,1.0
95000,-5.23795556640625,-4.54347021484375,-602.2679375,-1213131.776,-1414039.04,1,mfvi,0,1000,1.0
100000,-9.595203125,-7.8579658203125,-497.989625,-1108498.688,-1373916.8,1,mfvi,0,1000,1.0
