epoch,ood_ll_var_1.0,temperature,posterior_type,seed,n_train
0,-355.54484375,1,mfvi,0,100
10000,-2.8320404052734376,1,mfvi,0,100
20000,-1.7783311462402345,1,mfvi,0,100
30000,-1.6668917846679687,1,mfvi,0,100
40000,-1.6847698974609375,1,mfvi,0,100
50000,-1.678278350830078,1,mfvi,0,100
60000,-1.7066929626464844,1,mfvi,0,100
70000,-1.6988729858398437,1,mfvi,0,100
80000,-1.6803056335449218,1,mfvi,0,100
90000,-1.6965399169921875,1,mfvi,0,100
100000,-1.6701593017578125,1,mfvi,0,100
110000,-1.6689030456542968,1,mfvi,0,100
120000,-1.66357666015625,1,mfvi,0,100
130000,-1.6637515258789062,1,mfvi,0,100
140000,-1.6813131713867187,1,mfvi,0,100
150000,-1.66370361328125,1,mfvi,0,100
160000,-1.6984654235839844,1,mfvi,0,100
170000,-1.6814297485351561,1,mfvi,0,100
180000,-1.70366943359375,1,mfvi,0,100
190000,-1.6668389892578126,1,mfvi,0,100
200000,-1.6656509399414063,1,mfvi,0,100
210000,-1.6640948486328124,1,mfvi,0,100
220000,-1.6665194702148438,1,mfvi,0,100
