epoch,ood_ll_var_0.3,temperature,posterior_type,seed,n_train,frequency
0,-2119711.3110276195,1.0,sbvi,0,50,4
500,-26.96664061084252,1.0,sbvi,0,50,4
1000,-26.122513020278237,1.0,sbvi,0,50,4
1500,-26.56330164727928,1.0,sbvi,0,50,4
2000,-26.501066171628068,1.0,sbvi,0,50,4
2500,-26.245648298003726,1.0,sbvi,0,50,4
3000,-27.09128727197737,1.0,sbvi,0,50,4
3500,-26.270169649866553,1.0,sbvi,0,50,4
4000,-27.283875609691844,1.0,sbvi,0,50,4
4500,-27.31751484407571,1.0,sbvi,0,50,4
5000,-27.0031135581579,1.0,sbvi,0,50,4
5500,-26.70855734294376,1.0,sbvi,0,50,4
6000,-26.761878948963957,1.0,sbvi,0,50,4
6500,-27.57934986726496,1.0,sbvi,0,50,4
7000,-27.415847620477646,1.0,sbvi,0,50,4
7500,-26.852673378460086,1.0,sbvi,0,50,4
8000,-27.321889907194358,1.0,sbvi,0,50,4
8500,-26.807706975491193,1.0,sbvi,0,50,4
9000,-27.626725753407417,1.0,sbvi,0,50,4
9500,-26.899021534946854,1.0,sbvi,0,50,4
10000,-26.65448607340373,1.0,sbvi,0,50,4
10500,-26.528102932755143,1.0,sbvi,0,50,4
11000,-27.163938741233576,1.0,sbvi,0,50,4
11500,-27.532653492387624,1.0,sbvi,0,50,4
12000,-27.027182034269796,1.0,sbvi,0,50,4
12500,-11377555.210515328,1.0,sbvi,0,50,4
13000,-134697.84164202743,1.0,sbvi,0,50,4
