epoch,ood_ll_var_1,temperature,posterior_type,seed,n_train,frequency
999,-211.61316612450278,0.001,sbvi,0,4,0.25
1999,-200.76029630180494,0.001,sbvi,0,4,0.25
2999,-200.0809877272938,0.001,sbvi,0,4,0.25
3999,-200.3548296469997,0.001,sbvi,0,4,0.25
4999,-202.23839733849215,0.001,sbvi,0,4,0.25
5999,-202.01743802422286,0.001,sbvi,0,4,0.25
6999,-202.49298857484962,0.001,sbvi,0,4,0.25
7999,-206.37768160824456,0.001,sbvi,0,4,0.25
8999,-203.46130122139368,0.001,sbvi,0,4,0.25
9999,-196.89348950486664,0.001,sbvi,0,4,0.25
10999,-201.40344819275512,0.001,sbvi,0,4,0.25
11999,-192.58946216589672,0.001,sbvi,0,4,0.25
12999,-194.80720259621043,0.001,sbvi,0,4,0.25
13999,-192.5974757028432,0.001,sbvi,0,4,0.25
14999,-379.9254830773435,0.001,sbvi,0,4,0.25
15999,-380.0699647858159,0.001,sbvi,0,4,0.25
16999,-383.2481222123508,0.001,sbvi,0,4,0.25
17999,-382.05992018168905,0.001,sbvi,0,4,0.25
18999,-381.98089046795343,0.001,sbvi,0,4,0.25
19999,-392.3323707940641,0.001,sbvi,0,4,0.25
20999,-393.34246735462625,0.001,sbvi,0,4,0.25
21999,-336.19235025374365,0.001,sbvi,0,4,0.25
22999,-328.29090527803606,0.001,sbvi,0,4,0.25
23999,-352.01305262171246,0.001,sbvi,0,4,0.25
24999,-333.1702757755713,0.001,sbvi,0,4,0.25
25999,-344.77459801417393,0.001,sbvi,0,4,0.25
26999,-322.96738846258773,0.001,sbvi,0,4,0.25
27999,-308.5502522530272,0.001,sbvi,0,4,0.25
28999,-415.98023161400056,0.001,sbvi,0,4,0.25
29999,-376.07522031516623,0.001,sbvi,0,4,0.25
30999,-392.65078413268213,0.001,sbvi,0,4,0.25
31999,-425.6025896212591,0.001,sbvi,0,4,0.25
32999,-486.4537241879278,0.001,sbvi,0,4,0.25
33999,-438.333952313075,0.001,sbvi,0,4,0.25
34999,-494.1491967821976,0.001,sbvi,0,4,0.25
35999,-481.49869864629136,0.001,sbvi,0,4,0.25
36999,-489.12084098384145,0.001,sbvi,0,4,0.25
37999,-445.621547903319,0.001,sbvi,0,4,0.25
38999,-456.08941785870013,0.001,sbvi,0,4,0.25
39999,-421.5156957983909,0.001,sbvi,0,4,0.25
40999,-420.6447879880441,0.001,sbvi,0,4,0.25
41999,-427.16723083958385,0.001,sbvi,0,4,0.25
42999,-385.15936188171963,0.001,sbvi,0,4,0.25
43999,-421.07344787513335,0.001,sbvi,0,4,0.25
44999,-379.69999035756103,0.001,sbvi,0,4,0.25
45999,-430.2850008395887,0.001,sbvi,0,4,0.25
46999,-377.83040498247385,0.001,sbvi,0,4,0.25
47999,-400.64671690307495,0.001,sbvi,0,4,0.25
48999,-378.92490477102166,0.001,sbvi,0,4,0.25
49999,-396.14201754957475,0.001,sbvi,0,4,0.25
50999,-377.872896649346,0.001,sbvi,0,4,0.25
51999,-397.35143039799306,0.001,sbvi,0,4,0.25
52999,-354.3400816301389,0.001,sbvi,0,4,0.25
53999,-393.4108243838594,0.001,sbvi,0,4,0.25
54999,-418.6758066472667,0.001,sbvi,0,4,0.25
55999,-339.85500483493183,0.001,sbvi,0,4,0.25
56999,-397.32890880971263,0.001,sbvi,0,4,0.25
57999,-363.31478852861636,0.001,sbvi,0,4,0.25
58999,-353.373997882569,0.001,sbvi,0,4,0.25
59999,-320.9755420071933,0.001,sbvi,0,4,0.25
60999,-376.11712049551136,0.001,sbvi,0,4,0.25
61999,-391.4006410493293,0.001,sbvi,0,4,0.25
62999,-365.2388413482862,0.001,sbvi,0,4,0.25
63999,-392.1842584353925,0.001,sbvi,0,4,0.25
64999,-392.8174823224494,0.001,sbvi,0,4,0.25
65999,-364.1811936062965,0.001,sbvi,0,4,0.25
66999,-377.63285819509537,0.001,sbvi,0,4,0.25
67999,-348.8840945685477,0.001,sbvi,0,4,0.25
68999,-390.982592327141,0.001,sbvi,0,4,0.25
69999,-350.94066177219804,0.001,sbvi,0,4,0.25
70999,-332.7569235877324,0.001,sbvi,0,4,0.25
71999,-329.950566727001,0.001,sbvi,0,4,0.25
72999,-317.9861416574756,0.001,sbvi,0,4,0.25
73999,-332.842758583563,0.001,sbvi,0,4,0.25
74999,-336.2937541954765,0.001,sbvi,0,4,0.25
75999,-338.25780224567393,0.001,sbvi,0,4,0.25
76999,-318.1450277094595,0.001,sbvi,0,4,0.25
77999,-362.9430413470352,0.001,sbvi,0,4,0.25
78999,-286.31848754655954,0.001,sbvi,0,4,0.25
79999,-301.8841031128678,0.001,sbvi,0,4,0.25
80999,-294.9722821127098,0.001,sbvi,0,4,0.25
81999,-293.5675586744625,0.001,sbvi,0,4,0.25
82999,-300.63595584764715,0.001,sbvi,0,4,0.25
83999,-287.03305017257367,0.001,sbvi,0,4,0.25
84999,-275.7668215049776,0.001,sbvi,0,4,0.25
85999,-298.7554896735959,0.001,sbvi,0,4,0.25
86999,-264.3142230156592,0.001,sbvi,0,4,0.25
87999,-275.0501844510727,0.001,sbvi,0,4,0.25
88999,-277.00832428676324,0.001,sbvi,0,4,0.25
89999,-277.8389145643111,0.001,sbvi,0,4,0.25
90999,-280.9088172243687,0.001,sbvi,0,4,0.25
91999,-282.402309807553,0.001,sbvi,0,4,0.25
92999,-304.0499287195692,0.001,sbvi,0,4,0.25
93999,-265.11653610812914,0.001,sbvi,0,4,0.25
94999,-294.26838525712753,0.001,sbvi,0,4,0.25
95999,-251.28825389768764,0.001,sbvi,0,4,0.25
96999,-253.0455365059614,0.001,sbvi,0,4,0.25
97999,-267.1825837964879,0.001,sbvi,0,4,0.25
98999,-239.9269275536907,0.001,sbvi,0,4,0.25
99999,-263.76166315320495,0.001,sbvi,0,4,0.25
100999,-247.3774138132797,0.001,sbvi,0,4,0.25
101999,-241.98143860835864,0.001,sbvi,0,4,0.25
102999,-261.96901931992045,0.001,sbvi,0,4,0.25
103999,-250.76036793904427,0.001,sbvi,0,4,0.25
104999,-278.51859784736587,0.001,sbvi,0,4,0.25
105999,-258.0234391444354,0.001,sbvi,0,4,0.25
106999,-276.01243312351176,0.001,sbvi,0,4,0.25
107999,-246.4633434852633,0.001,sbvi,0,4,0.25
108999,-262.3212110146426,0.001,sbvi,0,4,0.25
109999,-256.0510895888526,0.001,sbvi,0,4,0.25
110999,-241.6492512032213,0.001,sbvi,0,4,0.25
111999,-232.46590187364993,0.001,sbvi,0,4,0.25
112999,-242.7523740762159,0.001,sbvi,0,4,0.25
113999,-244.9349807633722,0.001,sbvi,0,4,0.25
114999,-237.0010159934667,0.001,sbvi,0,4,0.25
115999,-256.05215275141273,0.001,sbvi,0,4,0.25
116999,-244.7473398605623,0.001,sbvi,0,4,0.25
117999,-234.78467546118156,0.001,sbvi,0,4,0.25
118999,-248.03408667277128,0.001,sbvi,0,4,0.25
119999,-242.84370201270906,0.001,sbvi,0,4,0.25
120999,-247.0915394556295,0.001,sbvi,0,4,0.25
121999,-216.28635437767002,0.001,sbvi,0,4,0.25
122999,-208.27057035022798,0.001,sbvi,0,4,0.25
123999,-198.80973894965976,0.001,sbvi,0,4,0.25
124999,-199.5591819026806,0.001,sbvi,0,4,0.25
125999,-197.09368670132733,0.001,sbvi,0,4,0.25
126999,-196.5379317318703,0.001,sbvi,0,4,0.25
127999,-192.4230176410103,0.001,sbvi,0,4,0.25
128999,-197.91528858479182,0.001,sbvi,0,4,0.25
129999,-200.49633290138644,0.001,sbvi,0,4,0.25
130999,-208.26931027178827,0.001,sbvi,0,4,0.25
131999,-193.65516607096035,0.001,sbvi,0,4,0.25
132999,-200.39642157852447,0.001,sbvi,0,4,0.25
133999,-197.7740810663105,0.001,sbvi,0,4,0.25
134999,-185.51735166485665,0.001,sbvi,0,4,0.25
135999,-158.30963068658295,0.001,sbvi,0,4,0.25
136999,-188.46480652559077,0.001,sbvi,0,4,0.25
137999,-178.1143510840015,0.001,sbvi,0,4,0.25
138999,-174.03225376777206,0.001,sbvi,0,4,0.25
139999,-151.8480514142946,0.001,sbvi,0,4,0.25
140999,-170.2477117343758,0.001,sbvi,0,4,0.25
141999,-168.44164363585458,0.001,sbvi,0,4,0.25
142999,-162.7637024793612,0.001,sbvi,0,4,0.25
143999,-151.470121845815,0.001,sbvi,0,4,0.25
144999,-158.7501386351484,0.001,sbvi,0,4,0.25
145999,-157.50905345749692,0.001,sbvi,0,4,0.25
146999,-152.99797322258001,0.001,sbvi,0,4,0.25
147999,-143.3366395834059,0.001,sbvi,0,4,0.25
148999,-145.81603572934026,0.001,sbvi,0,4,0.25
149999,-144.96674793192173,0.001,sbvi,0,4,0.25
150999,-140.67580642157048,0.001,sbvi,0,4,0.25
151999,-133.58496300821645,0.001,sbvi,0,4,0.25
