epoch,temperature,posterior_type,seed,n_train,frequency
999,1,mfvi,0,64,1
1999,1,mfvi,0,64,1
2999,1,mfvi,0,64,1
3999,1,mfvi,0,64,1
4999,1,mfvi,0,64,1
5999,1,mfvi,0,64,1
6999,1,mfvi,0,64,1
7999,1,mfvi,0,64,1
8999,1,mfvi,0,64,1
9999,1,mfvi,0,64,1
10999,1,mfvi,0,64,1
11999,1,mfvi,0,64,1
12999,1,mfvi,0,64,1
13999,1,mfvi,0,64,1
14999,1,mfvi,0,64,1
15999,1,mfvi,0,64,1
16999,1,mfvi,0,64,1
17999,1,mfvi,0,64,1
18999,1,mfvi,0,64,1
19999,1,mfvi,0,64,1
20999,1,mfvi,0,64,1
21999,1,mfvi,0,64,1
22999,1,mfvi,0,64,1
23999,1,mfvi,0,64,1
24999,1,mfvi,0,64,1
25999,1,mfvi,0,64,1
26999,1,mfvi,0,64,1
27999,1,mfvi,0,64,1
28999,1,mfvi,0,64,1
29999,1,mfvi,0,64,1
30000,1,mfvi,0,64,1
