epoch,ood_ll_iid_with_gap,ood_ll_ood_no_gap,temperature,posterior_type,seed,n_train,frequency
999,-16834.78071411289,-109664.97033843413,1,mfvi,0,64,1
1999,-12233.840761923318,-65449.846713132334,1,mfvi,0,64,1
2999,-8811.06033210377,-48215.43742843027,1,mfvi,0,64,1
3999,-5604.979169406889,-33419.26647659745,1,mfvi,0,64,1
4999,-4055.3145201342522,-23466.12127599243,1,mfvi,0,64,1
5999,-2538.8414097680666,-12990.430823270404,1,mfvi,0,64,1
6999,-1500.4378834071983,-6390.054198407125,1,mfvi,0,64,1
7999,-1030.8491959977287,-2845.6103401355995,1,mfvi,0,64,1
8999,-493.80783219206336,-1170.5185006173544,1,mfvi,0,64,1
9999,-363.10519167859746,-339.4540955582362,1,mfvi,0,64,1
10999,-286.8209106824218,-246.02851191439507,1,mfvi,0,64,1
11999,-285.13334592213243,-303.0604477147655,1,mfvi,0,64,1
12999,-323.9907241871603,-306.7719273399628,1,mfvi,0,64,1
13999,-295.31735534396626,-280.2371624626967,1,mfvi,0,64,1
14999,-286.3010125320326,-285.783485407855,1,mfvi,0,64,1
15999,-305.3372799692436,-292.1603844999808,1,mfvi,0,64,1
16999,-321.622520136251,-310.0228052677813,1,mfvi,0,64,1
17999,-285.63515472279346,-269.7026594073938,1,mfvi,0,64,1
18999,-291.70267163532435,-290.44030215885954,1,mfvi,0,64,1
