epoch,ood_ll_iid_with_gap,ood_ll_ood_no_gap,seed,n_train,frequency
9999,-300.9488357069566,-7542.014324038841,0,64,1
19999,-306.48526152707495,-4494.421943659029,0,64,1
29999,-287.87609019267603,-5093.653734508405,0,64,1
39999,-290.3073147172255,-4574.153429179822,0,64,1
49999,-289.2432452465801,-4065.492350152216,0,64,1
59999,-306.6940554932498,-3654.6155444923256,0,64,1
69999,-289.47047607015384,-2891.383967934392,0,64,1
79999,-292.60608549778766,-2709.9506913214996,0,64,1
89999,-295.1708840943513,-2327.3422750315735,0,64,1
99999,-297.49961799945777,-2249.3290237317374,0,64,1
109999,-296.28075990468716,-2289.459005177756,0,64,1
119999,-300.9026381271342,-2290.3050311510815,0,64,1
129999,-298.2109062825415,-2069.3525141954615,0,64,1
139999,-297.46756972275676,-1698.1065505594804,0,64,1
