epoch,ood_ll_var_1,seed,n_train,frequency
9999,-77.70106295234467,0,64,1
19999,-70.31377270898223,0,64,1
29999,-88.32766518694395,0,64,1
39999,-72.83321528901288,0,64,1
49999,-72.58521132559359,0,64,1
59999,-76.92622953123963,0,64,1
69999,-70.17293879500288,0,64,1
79999,-74.13726669005598,0,64,1
89999,-76.53948198052456,0,64,1
99999,-74.64000367428659,0,64,1
109999,-74.78590318206096,0,64,1
119999,-74.588497552983,0,64,1
129999,-74.57102862031148,0,64,1
139999,-74.5830601370151,0,64,1
149999,-74.58046737407584,0,64,1
