tensor([-19914.3984], grad_fn=<NegBackward0>) tensor(-1.7982, grad_fn=<MeanBackward0>)
tensor([-19915.2695], grad_fn=<NegBackward0>) tensor(-1.2761, grad_fn=<MeanBackward0>)
tensor([-19915.4844], grad_fn=<NegBackward0>) tensor(-1.2875, grad_fn=<MeanBackward0>)
tensor([-19915.3398], grad_fn=<NegBackward0>) tensor(-0.6179, grad_fn=<MeanBackward0>)
tensor([-19913.8398], grad_fn=<NegBackward0>) tensor(-1.8095, grad_fn=<MeanBackward0>)
tensor([-19913.5293], grad_fn=<NegBackward0>) tensor(-1.6926, grad_fn=<MeanBackward0>)
tensor([-19913.7402], grad_fn=<NegBackward0>) tensor(-1.3355, grad_fn=<MeanBackward0>)
tensor([-19913.4707], grad_fn=<NegBackward0>) tensor(-0.7775, grad_fn=<MeanBackward0>)
tensor([-19911.7617], grad_fn=<NegBackward0>) tensor(-2.3135, grad_fn=<MeanBackward0>)
tensor([-19911.6953], grad_fn=<NegBackward0>) tensor(-1.5550, grad_fn=<MeanBackward0>)
tensor([-19911.9355], grad_fn=<NegBackward0>) tensor(-1.5425, grad_fn=<MeanBackward0>)
tensor([-19912.2793], grad_fn=<NegBackward0>) tensor(-1.4806, grad_fn=<MeanBackward0>)
tensor([-19912.8066], grad_fn=<NegBackward0>) tensor(-1.2682, grad_fn=<MeanBackward0>)







# mfvi 

tensor([-28763.3945], grad_fn=<AddBackward0>) tensor(-7.3968, grad_fn=<MeanBackward0>)
tensor([-28762.6211], grad_fn=<AddBackward0>) tensor(-6.8504, grad_fn=<MeanBackward0>)
tensor([-28761.8457], grad_fn=<AddBackward0>) tensor(-6.3735, grad_fn=<MeanBackward0>)
tensor([-28761.0723], grad_fn=<AddBackward0>) tensor(-6.8141, grad_fn=<MeanBackward0>)
tensor([-28760.2969], grad_fn=<AddBackward0>) tensor(-6.0011, grad_fn=<MeanBackward0>)
6200
tensor([-28759.5195], grad_fn=<AddBackward0>) tensor(-6.4716, grad_fn=<MeanBackward0>)
tensor([-28758.7422], grad_fn=<AddBackward0>) tensor(-6.3055, grad_fn=<MeanBackward0>)
tensor([-28757.9668], grad_fn=<AddBackward0>) tensor(-7.4615, grad_fn=<MeanBackward0>)
tensor([-28757.1914], grad_fn=<AddBackward0>) tensor(-6.9006, grad_fn=<MeanBackward0>)
tensor([-28756.4160], grad_fn=<AddBackward0>) tensor(-6.4533, grad_fn=<MeanBackward0>)

# sbvi
tensor([-18653.4609], grad_fn=<NegBackward0>) tensor(-18.1327, grad_fn=<MeanBackward0>)
tensor([-18653.0938], grad_fn=<NegBackward0>) tensor(-17.7164, grad_fn=<MeanBackward0>)
tensor([-18652.4355], grad_fn=<NegBackward0>) tensor(-21.1988, grad_fn=<MeanBackward0>)
tensor([-18651.9570], grad_fn=<NegBackward0>) tensor(-16.8395, grad_fn=<MeanBackward0>)
tensor([-18650.9824], grad_fn=<NegBackward0>) tensor(-18.9688, grad_fn=<MeanBackward0>)
tensor([-18650.0059], grad_fn=<NegBackward0>) tensor(-17.9448, grad_fn=<MeanBackward0>)
tensor([-18648.8555], grad_fn=<NegBackward0>) tensor(-17.0571, grad_fn=<MeanBackward0>)
tensor([-18647.5410], grad_fn=<NegBackward0>) tensor(-17.1933, grad_fn=<MeanBackward0>)
tensor([-18646.2031], grad_fn=<NegBackward0>) tensor(-19.3434, grad_fn=<MeanBackward0>)
tensor([-18645.0645], grad_fn=<NegBackward0>) tensor(-20.3950, grad_fn=<MeanBackward0>)
tensor([-18644.5117], grad_fn=<NegBackward0>) tensor(-19.1576, grad_fn=<MeanBackward0>)
tensor([-18643.9941], grad_fn=<NegBackward0>) tensor(-19.0716, grad_fn=<MeanBackward0>)
tensor([-18643.5508], grad_fn=<NegBackward0>) tensor(-19.3075, grad_fn=<MeanBackward0>)
tensor([-18643.2070], grad_fn=<NegBackward0>) tensor(-17.9054, grad_fn=<MeanBackward0>)


